No.,Chap,Sect,#,Question,Section Name,Short Text,Question Type,Chemical,LNG,LPG,Oil,Conditional,Hardware Response Type,Human Response Type,Process Response Type,ROVIQ List
5.1.8,5,1,8,"Were the Master and officers familiar with the shipboard emergency plan for collision, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Emergency plan & drills for collision,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation"
5.1.9,5,1,9,"Were the Master and officers familiar with the shipboard emergency plan for grounding, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Emergency plan & drills for grounding,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation"
5.1.10,5,1,10,"Were the Master and officers familiar with the shipboard emergency plan for loss of propulsion, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Emergency plan & drills for loss of propulsion,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Documentation, Engine Control Room, Interview - Deck Officer, Interview - Engineer Officer"
5.1.11,5,1,11,"Were the Master and officers familiar with the shipboard emergency plan for failure of electrical power, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills, Emergency plan & drills for failure of electrical power,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Documentation, Engine Control Room, Interview - Deck Officer, Interview - Engineer Officer"
5.1.12,5,1,12,"Were the Master and officers familiar with the shipboard emergency plan for steering gear failure, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures.",Emergency Response Plans and Drills,Steering gear failure emergency drill.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Documentation, Interview - Deck Officer, Steering Gear"
5.1.13,5,1,13,"Were the Master and officers familiar with the shipboard emergency plan for emergency towing, including the Emergency Towing Booklet (ETB), and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Emergency plan & drills for emergency towing,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Forecastle, Interview - Deck Officer, Interview - Engineer Officer"
5.1.14,5,1,14,"Were the Master, officers and ratings familiar with the shipboard emergency response plan for man overboard, including the launching and recovering the rescue boat, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Man overboard emergency drill.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Documentation, Interview - Deck Officer, Interview - Deck Rating"
5.1.15,5,1,15,"Were the Master, officers and ratings familiar with the shipboard emergency response plan for recovery of persons from the water, and had drills taken place to test the effectiveness of the shipboard emergency response plan in accordance with company procedures?",Emergency Response Plans and Drills,Emergency response plan & drills for recovery of persons from the water,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Documentation, Interview - Rating"
5.1.16,5,1,16,"Were the Master and officers familiar with the shipboard emergency plans for flooding, and had drills taken place to test the effectiveness of the shipboard emergency response plans in accordance with company procedures?",Emergency Response Plans and Drills,Emergency plans & drills for flooding,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation"
5.1.17,5,1,17,"Were the Master and officers familiar with the shipboard emergency plans regarding LNG bunker operations, and had drills taken place to test the effectiveness of the shipboard emergency response plans in accordance with company procedures?",Emergency Response Plans and Drills,Emergency plans and drills for LNG bunker operations,Rotational 2,TRUE,FALSE,TRUE,TRUE,TRUE,None,Graduated,Graduated,"Documentation, Engine Control Room"
5.1.18,5,1,18,"Were the Master and officers familiar with the company procedures setting out the actions to be taken in the event of a cargo leak into a double hull tank, and was all required equipment available and in satisfactory condition?",Emergency Response Plans and Drills,Cargo leak into double hull spaces.,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Deck Officer, Main Deck"
5.1.19,5,1,19,Were the Master and officers familiar with the emergency arrangements to pump out the spaces forward of the collision bulkhead in the event of flooding and were these arrangements prominently marked and in good order?,Emergency Response Plans and Drills,OBO Forward space emergency pumping arrangements,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Bridge, Engine Control Room, Forecastle, Interview - Deck Officer"
5.2.1,5,2,1,"Were the Master, officers and ratings familiar with the starting procedure for the emergency fire pump, and were records available to demonstrate that the emergency fire pump and its location had been maintained and tested in accordance with company procedures?",Fixed Fire Protection Systems,Emergency fire pump,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Aft Mooring Deck, Steering Gear"
5.2.2,5,2,2,"Were the Master, officers and crew familiar with the location, purpose, testing and operation of the vessel’s fire dampers, the means of closing the main inlets and outlets of all ventilation systems and the means of stopping the power ventilation systems from outside the space served?",Fixed Fire Protection Systems,Fire dampers & ventilation stops,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Aft Mooring Deck, Emergency Headquarters., Exterior Decks, Forecastle, Interview - Engineer Officer, Interview - Rating"
5.2.3,5,2,3,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s fixed fire detection and fire alarm system, and was the equipment in good working order, regularly inspected, tested and maintained?",Fixed Fire Protection Systems,Fixed fire detection and fire alarm system,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Emergency Headquarters., Engine Control Room, Interview - Electrician / ETO"
5.2.4,5,2,4,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s fixed carbon dioxide fire extinguishing system, and was the equipment in good working order and available for immediate use, with the release procedure and operating instructions displayed at the control stations?",Fixed Fire Protection Systems,Machinery space fixed carbon dioxide fire extinguishing system,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Aft Mooring Deck, Emergency Headquarters."
5.2.5,5,2,5,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s machinery space fixed high-expansion foam fire extinguishing system, and was the equipment in good working order, available for immediate use, and with operating instructions clearly displayed at the control stations?",Fixed Fire Protection Systems,Machinery space fixed high-expansion foam fire extinguishing system,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Emergency Headquarters., Engine Control Room, Engine Room"
5.2.6,5,2,6,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s machinery space fixed pressure water-spraying fire extinguishing system, and was the equipment in good working order and available for immediate use, with operating instructions clearly displayed at the control stations?",Fixed Fire Protection Systems,Machinery space fixed pressure water-spraying fire extinguishing system,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Emergency Headquarters., Engine Control Room, Engine Room"
5.2.7,5,2,7,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s fire pumps, fire main, fire main isolating valves and fire hydrants, and was the system and its components in good working order and available for immediate use?",Fixed Fire Protection Systems,"Fire pumps, fire main, fire main isolating valves and fire hydrants",Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Graduated,Graduated,Graduated,"Bridge, Emergency Headquarters., Engine Room, Exterior Decks"
5.2.8,5,2,8,"Were the Master, officers and galley staff familiar with the location, purpose and operation of the fixed and portable fire extinguishing systems provided in the galley, were the systems in good working order and available for immediate use, and were galley ranges, exhaust vents, filter cowls free of grease or combustible material?",Fixed Fire Protection Systems,Galley fixed and portable fire extinguishing systems & fire prevention,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Internal Accommodation, Interview - Galley Rating"
5.2.9,5,2,9,"Were the Master and officers familiar with the location, purpose and operation of the water-spray system for cooling, fire prevention and crew protection on deck, and was the equipment in good working order, regularly inspected, tested and maintained?",Fixed Fire Protection Systems,Water-spray system on deck,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
5.2.10,5,2,10,"Were the Master and officers familiar with the location, purpose and operation of the fixed fire extinguishing system installed within enclosed spaces containing cargo handling equipment, and was the equipment in good working order and available for immediate use, with the release procedure and operating instructions displayed at the control stations?",Fixed Fire Protection Systems,Cargo handling equipment space(s) fixed fire extinguishing system,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Compressor Room, Main Deck"
5.2.11,5,2,11,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s fixed dry chemical powder fire extinguishing system, and was the equipment in good working order and readily available for immediate use, with operating instructions clearly displayed at the control stations.",Fixed Fire Protection Systems,Fixed dry chemical powder fire extinguishing system,Rotational 2,FALSE,TRUE,TRUE,FALSE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Cargo Manifold, Main Deck"
5.2.12,5,2,12,"Were the Master and officers familiar with the location, purpose and operation of the fixed fire-extinguishing system in the vessel’s paint locker and any other flammable liquid locker, and was the system in good working order and available for immediate use?",Fixed Fire Protection Systems,Paint locker fixed fire-extinguishing system,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Exterior Decks"
5.2.13,5,2,13,"Were the Master and officers familiar with the location, purpose and operation of the machinery space fixed water-based or equivalent local application fire-fighting system, and was the equipment in good working order and readily available for immediate use, with operating instructions clearly displayed at the control stations?",Fixed Fire Protection Systems,Machinery space fixed water-based or equivalent local application fire-fighting system,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Bridge, Emergency Headquarters., Engine Room, Steering Gear"
5.2.14,5,2,14,"Were the Master and officers familiar with the purpose of the cargo, ballast and stripping pump temperature sensing devices, and was there evidence that alarm activation points had been correctly set and tested in accordance with company procedures and manufacturer's instructions?",Fixed Fire Protection Systems,"Cargo, ballast and stripping pump temperature sensing devices",Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Room, Pumproom"
5.2.15,5,2,15,"Were the Master, officers and ratings familiar with the purpose and operation of the vessel’s deck foam system, including portable applicators, and was the system in good working order and available for immediate use, with operating instructions displayed at the control station?",Fixed Fire Protection Systems,"Deck foam system, including portable applicators",Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Manifold, Emergency Headquarters., Interview - Rating, Main Deck"
5.2.16,5,2,16,"Were the Master, officers and crew familiar with the location, purpose, testing and operation of the vessel’s fire doors?",Fixed Fire Protection Systems,Fire doors,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Room, Forecastle, Internal Accommodation, Interview - Deck Officer, Interview - Engine Rating"
5.3.1,5,3,1,"Were the Master, officers and ratings familiar with the location and use of the vessel’s firefighter’s outfits including the self-contained breathing apparatus (SCBA), and was the equipment maintained in good condition and ready for immediate use in accordance with company procedures?",Portable fire fighting appliances,Firefighter’s outfits including self-contained breathing apparatus (SCBA),Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Emergency Headquarters., Forecastle, Steering Gear"
5.3.2,5,3,2,"Were the Master, officers and crew familiar with the location, purpose and operation of the vessel’s fire hoses, nozzles and international shore connection, and was the equipment in good working order and available for immediate use?",Portable fire fighting appliances,"Fire hoses, nozzles and international shore connection",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Anywhere, Interview - Rating"
5.3.3,5,3,3,"Were the Master, officers and ratings familiar with the location, purpose and operation of the vessel’s portable fire extinguishers, and were the extinguishers in good order and readily available for immediate use with operating instructions clearly marked?",Portable fire fighting appliances,Portable fire extinguishers,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Anywhere, Cargo Control Room, Engine Control Room"
5.3.4,5,3,4,"Were the Master, officers and ratings familiar with the location and purpose of the Emergency Escape Breathing Devices (EEBDs) carried on board, and were these devices in good order, suitably located and ready for immediate use?",Portable fire fighting appliances,Emergency Escape Breathing Devices (EEBDs),Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Room, Internal Accommodation, Interview - Rating, Pumproom"
5.3.5,5,3,5,"Were the Master, officers and engine ratings familiar with the purpose and operation of the vessel’s wheeled (mobile) fire extinguishers, and was the equipment in good order and available for immediate use with operating instructions clearly marked?",Portable fire fighting appliances,Wheeled (mobile) fire extinguishers,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Room, Interview - Engine Rating"
5.4.1,5,4,1,"Were the Master and officers familiar with the operation of the davit-launched lifeboats, release mechanisms and launching appliances, and were they in good order with records available to demonstrate that they had been inspected and tested as required?",Life saving appliances,"Davit-launched lifeboats, release mechanisms and launching appliances",Core,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Documentation, Lifeboat deck"
5.4.2,5,4,2,"Were the Master and officers familiar with the operation of the free-fall lifeboat, its release systems and its launching appliance, and was the equipment in satisfactory condition with records available to demonstrate that it had been inspected and tested in accordance with company procedures?",Life saving appliances,"Free-fall lifeboat, its release systems and its launching appliance",Core,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Documentation, Lifeboat deck"
5.4.3,5,4,3,"Were the Master and officers familiar with the operation of the dedicated rescue boat and launching appliance, and were they in good order with records available to demonstrate that they had been inspected and tested as required?",Life saving appliances,Dedicated rescue boat and launching appliance,Core,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Documentation, Lifeboat deck"
5.4.4,5,4,4,"Were the Master and Officers familiar with the location, purpose and operation of the rocket parachute flares and line throwing appliances and were they in good order, with records available to demonstrate that had they had been inspected as required?",Life saving appliances,Rocket parachute flares and line throwing appliances,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Bridge
5.4.5,5,4,5,"Were the Master and officers familiar with the operation of the liferafts, hydrostatic releases and liferaft launching appliances, where provided, and were they in good order with records available to demonstrate that they had been serviced, inspected and tested as required?",Life saving appliances,"Liferafts, hydrostatic releases and liferaft launching appliances",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Forecastle, Lifeboat deck"
5.4.6,5,4,6,"Were the lifebuoys, and associated lights, smoke floats and lifelines, in good order, clearly marked and correctly distributed around the ship?",Life saving appliances,"Lifebuoys, and associated lights, smoke floats and lifelines",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Main Deck, Mooring Decks"
5.4.7,5,4,7,"Were the Master, officers and ratings familiar with the immersion suits, and were the immersion suits in good order, readily accessible and their location(s) clearly indicated?",Life saving appliances,Immersion suits,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Forecastle, Lifeboat deck"
5.4.8,5,4,8,"Were the Master, officers and ratings familiar with the lifejackets and personal flotation devices (PFDs) provided on board, and was the equipment in good condition, and properly maintained?",Life saving appliances,Lifejackets and personal flotation devices (PFDs),Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Engine Control Room, Forecastle, Interview - Rating, Lifeboat deck"
5.4.9,5,4,9,"Were the Master and officers familiar with the company procedures for the periodic testing and maintenance of the emergency lighting system, was there evidence of periodic testing, and was the system in proper operating condition?",Life saving appliances,Emergency lighting.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Room, Forecastle, Interview - Electrician / ETO, Lifeboat deck, Mooring Decks, Pumproom, Steering Gear"
5.5.1,5,5,1,"Were the Master, officers and ratings familiar with the company enclosed space entry procedures, and was evidence available to demonstrate that all enclosed space entries had been made in strict compliance with the procedures?",Permits to work,Enclosed space entry procedures,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Documentation, Engine Control Room, Interview - Rating"
5.5.2,5,5,2,"Were the Master, officers and, where directly involved, ratings familiar with the company hot work procedure, and was evidence available to demonstrate that hot work had been conducted in accordance with the procedure?",Permits to work,Hot work procedure,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Engine Room, Interview - Engine Rating, Main Deck"
5.5.3,5,5,3,"Were the Master, officers and ratings familiar with the company procedure for working at height, and was there evidence that risk control measures such as permits to work or documented risk assessments were consistently used whenever work was undertaken at height?",Permits to work,Working at height,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Exterior Decks, Interview - Rating"
5.5.4,5,5,4,"Were the Master, officers and ratings familiar with the company procedures for working over the side, and was there evidence that risk control measures such as standard work procedures, permits to work or documented risk assessments were consistently used whenever work was undertaken over the side?",Permits to work,Working over the side,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Documentation, Interview - Deck Rating, Main Deck"
5.5.5,5,5,5,"Were the Master and officers familiar with the company procedures for working on electrical equipment and systems, and was there evidence that risk control measures such as permits to work and/or documented risk assessments were consistently used whenever work was undertaken on electrical equipment and systems?",Permits to work,Working on electrical equipment and systems,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Engine Control Room, Engine Room, Forecastle, Interview - Electrician / ETO, Steering Gear"
5.5.6,5,5,6,"Were the Master and officers familiar with the company procedures for the control of hazardous energy, and was evidence available, through documented risk assessment or permits, that hazardous energy sources were routinely identified and isolated before working on, or in, machinery, systems or spaces where hazardous energy could be present?",Permits to work,Control of hazardous energy,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Engine Control Room, Interview - Deck Officer, Interview - Engineer Officer"
5.6.1,5,6,1,"Were the Master and officers familiar with the purpose, operation, testing, maintenance and calibration of the vessel’s portable and personal gas measurement instruments, and was the equipment on board sufficient, in good working order, regularly tested and periodically calibrated?",Fixed and portable gas detecting systems,Portable and personal gas measurement instruments,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Pumproom"
5.6.2,5,6,2,"Were the Master and deck officers familiar with the company procedures for testing the atmosphere in double-hull and double bottom spaces for flammable gas, and were records available to confirm that appropriate measurements had been taken using the equipment fitted to, or provided on, the vessel?",Fixed and portable gas detecting systems,Testing the atmosphere in double-hull and double bottom spaces for flammable gas,Rotational 1,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,Cargo Control Room
5.6.3,5,6,3,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s fixed gas detection systems required by the IGC Code, and was the equipment in good working order, regularly maintained and calibrated?",Fixed and portable gas detecting systems,Fixed gas detection systems required by the IGC Code,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Bridge, Cargo Control Room"
5.6.4,5,6,4,"Were the Master and officers familiar with the location, purpose and operation of the vessel’s fixed gas detection system required by the IGF Code, and was the equipment in good working order, regularly maintained and calibrated in accordance with company procedures and manufacturer’s instructions?",Fixed and portable gas detecting systems,Fixed gas detection system required by the IGF Code,Rotational 1,TRUE,FALSE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Bridge, Engine Control Room"
5.6.5,5,6,5,"Were the Master and officers familiar with the operation and maintenance of the cargo pump room fixed gas detection system, and was the equipment fully operational with sensors calibrated and alarm activation points set in accordance with company procedures and manufacturer's instructions?",Fixed and portable gas detecting systems,Cargo pump room fixed gas detection system,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Pumproom"
5.6.6,5,6,6,"Were the Master and officers familiar with the operation and maintenance of the oxygen sensors and associated alarms fitted in the space, or spaces, containing the inert gas system, and was the equipment fully operational with sensors calibrated and alarm activation points set in accordance with company procedures and manufacturer's instructions?",Fixed and portable gas detecting systems,Oxygen sensors in inert gas system spaces.,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room"
5.7.1,5,7,1,"Had all onboard incidents been reported and investigated in accordance with company procedures, and was an incident investigation report or a summarised lessons learned bulletin available for each incident at or above a defined threshold?",Safety Management,Incident investigation reports for defined incidents,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Binary,"Documentation, Pre-board"
5.7.2,5,7,2,"Were the Master, officers and ratings familiar with the company incident and near-miss reporting procedure and was evidence available to demonstrate that incidents and near-misses had been investigated and closed out in accordance with the company procedure?",Safety Management,Incident and near-miss reporting procedure,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Interview - Rating"
5.7.3,5,7,3,"Were the Master, officers and ratings familiar with the company procedure for holding and documenting shipboard safety meetings and was evidence available that safety concerns raised at the meetings were acknowledged and addressed by shore management?",Safety Management,Shipboard safety meetings,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Interview - Rating"
5.7.4,5,7,4,"Were the Master, officers and ratings familiar with the company work planning procedures and were records available to demonstrate that onboard work planning meetings had been conducted and documented in accordance with the procedures?",Safety Management,Work planning procedure,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Documentation, Engine Control Room, Interview - Rating"
5.7.5,5,7,5,"Were the Master, officers and ratings familiar with the purpose and implementation of the company Stop Work Authority policy and procedure?",Safety Management,Stop Work Authority,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Anywhere
5.7.6,5,7,6,"Were the Master, officers and ratings familiar with the company procedures for risk assessment, as appropriate to their duties, and was there evidence of the development and review of risk assessments in accordance with the procedures?",Safety Management,"Risk assessments for  new, non-routine, unplanned or specified tasks",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Interview - Rating, Interview Senior Officer"
5.7.7,5,7,7,"Were Safety Data Sheets (SDS) available on board for all  cargo, bunkers, chemicals, paints and other products being handled, and were crew members familiar with their use?",Safety Management,Safety Data Sheets.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Room, Forecastle, Steering Gear"
5.7.8,5,7,8,"Were the Master, officers and ratings familiar with the company Simultaneous Operations (SIMOPS) procedure and was there evidence that SIMOPS were considered during work planning and the required controls implemented for the duration of such operations?",Safety Management,Simultaneous Operations (SIMOPS) procedure,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Documentation, Engine Control Room, Interview - Rating"
5.8.1,5,8,1,"Were the Master and officers familiar with the company procedure for safety inspections of the main deck areas, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Safety inspection of the main deck and mooring areas.,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Main Deck, Mooring Decks"
5.8.2,5,8,2,"Were the Master and officers familiar with the company procedure for safety inspections of the machinery spaces, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Safety inspection of the machinery space.,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room, Steering Gear"
5.8.3,5,8,3,"Were the Master and officers familiar with the company procedure for safety inspections of the cargo pumproom, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Safety inspections of the cargo pumproom,Core,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Pumproom"
5.8.4,5,8,4,"Were the Master and officers familiar with the procedure for safety inspections of the cargo machinery rooms, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Cargo machinery rooms safety inspections,Core,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Compressor Room, Main Deck"
5.8.5,5,8,5,"Were the Master and officers familiar with the company procedure for safety inspections of the forecastle, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Safety inspection of the forecastle spaces,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Forecastle
5.8.6,5,8,6,"Were the Master and officers familiar with the company procedure for safety inspections of the accommodation, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Safety inspections of the accommodation spaces,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Internal Accommodation
5.8.7,5,8,7,"Were the Master and officers familiar with the company procedure for safety inspections of the ballast and/or bunker pumproom, and had inspections been effective in identifying hazards to health, safety and the environment?",Area Safety Inspections,Ballast and/or bunker pumproom safety inspection,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,Main Deck
5.9.1,5,9,1,"Were the Master, officers and ratings familiar with the company lifting and rigging procedures, and was evidence available to demonstrate that each item of lifting and rigging equipment had been maintained, inspected and tested in accordance with the procedure?",Lifting and Rigging,"Lifting and rigging equipment procedures, maintenance and inspection",Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Room, Interview - Rating, Main Deck"
5.9.2,5,9,2,"Where the vessel was fitted with a single cargo hose handling crane, was a risk assessment available which identified the minimum spare parts that must be carried onboard to ensure continued operation in the event of a single component failure, and were the identified spare parts available onboard?",Lifting and Rigging,Spare parts for a single cargo hose handling crane.,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,None,Graduated,"Chief Engineer's Office, Engine Room"
5.10.1,5,10,1,"Were the Master, deck officers and deck ratings familiar with the company procedures for rigging the pilot boarding arrangements, and was the equipment provided in satisfactory condition and used in accordance with industry best practice?",Safe Access,Pilot boarding arrangements,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Interview - Deck Rating, Main Deck"
5.10.2,5,10,2,"Were the Master, deck officers and deck ratings familiar with the company procedures for rigging the accommodation ladders, and were the accommodation ladders in good order and used in accordance with the company procedure and manufacturer’s instructions?",Safe Access,Accommodation ladders,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Documentation, Interview - Deck Rating, Main Deck"
5.10.3,5,10,3,"Were the Master, officers and ratings familiar with the company procedure for providing safe access to the vessel while alongside a terminal/berth, and was safe access provided by the ship’s portable gangway, the vessel’s accommodation ladder or a shore gangway?",Safe Access,Safe access to the vessel while alongside a terminal/berth,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Interview - Deck Rating, Main Deck"
5.10.4,5,10,4,"Were the Master and officers familiar with the company personnel transfer by crane procedure, and where a personnel transfer basket (PTB) and accessories were provided, were these in satisfactory condition and used in accordance with company procedures and manufacturer’s recommendations?",Safe Access,Personnel transfer by crane,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
5.10.5,5,10,5,"Were the Master and officers familiar with the company procedures for helicopter/ship operations, and had these procedures been complied with?",Safe Access,Helicopter operations,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
